clip_id,match_id,date,stage,team_survivor,team_hunter,player_p0,player_p1,player_p2,player_p3,hunter_player,char_p0,char_p1,char_p2,char_p3,hunter_char,hunter_trait,map,match_outcome,match_duration,notes
023,GR vs MRC_GExtra,2025-10-10,IVL 2025 Autumn,MRC,GR,xiaox,huac,nanako,xiaod,jin,Savage,Seer,Voodooist,Little Girl,Grocer,Teleportation,Red Church,draw,6:51,
024,GR vs MRC_GExtra,2025-10-10,IVL 2025 Autumn,GR,MRC,ac,heart,red,ak,bailu,Postman,Escape Artist,Mechanic,Air Force,Recorder,Blink,Red Church,draw,9:23,
025,MRC vs FPX.ZQ_G1,2025-10-11,IVL 2025 Autumn,MRC,FPX.ZQ,xiaox,huac,nanako,xiaod,dongx,First Mate,Puppeteer,Knight,Mechanic,Opera Singer,Blink,Leo's Memory,survivor_win,5:22,
026,MRC vs FPX.ZQ_G1,2025-10-11,IVL 2025 Autumn,FPX.ZQ,MRC,stian,yuan,lin,yihua,bailu,Voodooist,Puppeteer,Lucky Guy,First Mate,Opera Singer,Blink,Leo's Memory,hunter_win,6:51,
027,MRC vs FPX.ZQ_G2,2025-10-11,IVL 2025 Autumn,FPX.ZQ,MRC,stian,yuan,lin,yihua,bailu,Gardener,Magician,Forward,Explorer,Lame Sheep,Excitement,Arms Factory,hunter_win,6:18,
028,MRC vs FPX.ZQ_G2,2025-10-11,IVL 2025 Autumn,MRC,FPX.ZQ,xiaox,huac,nanako,xiaod,dongx,Mercenary,Lucky Guy,Prospector,Meteorologist,Shadow of Time,Blink,Arms Factory,survivor_win,8:34,
029,MRC vs ACT_G1,2025-10-17,IVL 2025 Autumn,MRC,ACT,xiaox,huac,nanako,xiaod,zz9,Gravedigger,Puppeteer,Knight,Professor,Shadow of Time,Blink,Yongmin Town,hunter_win,5:49,
030,MRC vs ACT_G1,2025-10-17,IVL 2025 Autumn,ACT,MRC,eleven,gougou,xy,xmiao5,bailu,Escape Artist,Professor,Puppeteer,Meteorologist,Lame Sheep,Abnormality,Yongmin Town,hunter_win,7:01,
031,MRC vs ACT_G2,2025-10-17,IVL 2025 Autumn,MRC,ACT,xiaox,huac,nanako,xiaod,zz9,Mercenary,Patient,Fire Investigator,Meteorologist,Opera Singer,Blink,Moon River Park,draw,5:06,
032,MRC vs ACT_G2,2025-10-17,IVL 2025 Autumn,ACT,MRC,eleven,gougou,xy,xmiao5,bailu,First Mate,Fire Investigator,Antiques Dealer,Aviator,Havoc,Teleportation,Moon River Park,draw,6:38,
033,MRC vs ACT_G3,2025-10-17,IVL 2025 Autumn,ACT,MRC,eleven,gougou,xy,xmiao5,bailu,Gravedigger,Seer,Lucky Guy,Patient,Guard 26,Teleportation,Red Church,hunter_win,6:40,
034,MRC vs ACT_G3,2025-10-17,IVL 2025 Autumn,MRC,ACT,xiaox,huac,nanako,xiaod,zz9,Savage,Acrobat,Novelist,Embalmer,Grocer,Teleportation,Red Church,draw,7:22,
035,MRC vs WBG_G1,2025-10-19,IVL 2025 Autumn,MRC,WBG,xiaox,huac,nanako,xiaod,n1e,Gravedigger,Puppeteer,Knight,Lucky Guy,Havoc,Teleportation,Lakeside Village,survivor_win,7:11,
036,MRC vs WBG_G1,2025-10-19,IVL 2025 Autumn,WBG,MRC,koting,guoker,huiyi,persica,bailu,Magician,Puppeteer,Gravedigger,Meteorologist,Havoc,Teleportation,Lakeside Village,draw,5:03,
037,MRC vs WBG_G2,2025-10-19,IVL 2025 Autumn,WBG,MRC,koting,guoker,huiyi,persica,bailu,Cheerleader,Fire Investigator,Mercenary,Lucky Guy,Opera Singer,Blink,Red Church,hunter_win,6:12,
038,MRC vs WBG_G2,2025-10-19,IVL 2025 Autumn,MRC,WBG,xiaox,huac,nanako,xiaod,n1e,First Mate,Patient,Acrobat,Embalmer,Opera Singer,Abnormality,Red Church,draw,8:46,
039,TE vs MRC_G1,2025-10-25,IVL 2025 Autumn,TE,MRC,drop,maom,libao,lconfid,bailu,Lucky Guy,Voodooist,Gravedigger,Puppeteer,Havoc,Teleportation,Eternal Forest,hunter_win,6:46,
040,TE vs MRC_G1,2025-10-25,IVL 2025 Autumn,MRC,TE,xiaox,huac,nanako,xiaod,ppei,Gravedigger,Puppeteer,Knight,Explorer,Lame Sheep,Seer,Eternal Forest,hunter_win,9:18,
041,TE vs MRC_G2,2025-10-25,IVL 2025 Autumn,TE,MRC,drop,maom,libao,lconfid,bailu,Bartender,Air Force,Mercenary,Meteorologist,Opera Singer,Seer,Moon River Park,draw,7:00,
042,TE vs MRC_G2,2025-10-25,IVL 2025 Autumn,MRC,TE,xiaox,huac,nanako,xiaod,ppei,Escape Artist,Patient,Prisoner,Meteorologist,Havoc,Teleportation,Moon River Park,hunter_win,5:16,
043,MRC vs GW_G1,2025-10-26,IVL 2025 Autumn,MRC,GW,xiaox,huac,nanako,xiaod,littlie,First Mate,Puppeteer,Acrobat,Mechanic,Lame Sheep,Abnormality,Leo's Memory,draw,4:49,
044,MRC vs GW_G1,2025-10-26,IVL 2025 Autumn,GW,MRC,lancelot,leil,lion,unicorn,bailu,Magician,Meteorologist,First Mate,Puppeteer,Opera Singer,Blink,Leo's Memory,hunter_win,5:55,
