clip_id,timestamp,player_panel,raw_status,status,confidence
73,0.0,0,6_escaped,escaped,0.418
73,0.0,1,1_injured,injured,0.195
73,0.0,2,1_injured,injured,0.474
73,0.0,3,5_eliminated,eliminated,0.325
73,0.0,4,0_healthy,healthy,0.314
73,2.0,0,6_escaped,escaped,0.49
73,2.0,1,0_healthy,healthy,0.214
73,2.0,2,1_injured,injured,0.469
73,2.0,3,5_eliminated,eliminated,0.325
73,2.0,4,0_healthy,healthy,0.321
73,4.0,0,6_escaped,escaped,0.433
73,4.0,1,1_injured,injured,0.389
73,4.0,2,1_injured,injured,0.294
73,4.0,3,5_eliminated,eliminated,0.475
73,4.0,4,0_healthy,healthy,0.398
73,6.0,0,6_escaped,escaped,0.456
73,6.0,1,0_healthy,healthy,0.204
73,6.0,2,1_injured,injured,0.472
73,6.0,3,5_eliminated,eliminated,0.33
73,6.0,4,0_healthy,healthy,0.369
73,8.0,0,6_escaped,escaped,0.454
73,8.0,1,0_healthy,healthy,0.206
73,8.0,2,1_injured,injured,0.512
73,8.0,3,5_eliminated,eliminated,0.307
73,8.0,4,0_healthy,healthy,0.41
73,10.0,0,6_escaped,escaped,0.494
73,10.0,1,1_injured,injured,0.207
73,10.0,2,1_injured,injured,0.47
73,10.0,3,5_eliminated,eliminated,0.344
73,10.0,4,0_healthy,healthy,0.405
73,12.0,0,6_escaped,escaped,0.455
73,12.0,1,1_injured,injured,0.2
73,12.0,2,1_injured,injured,0.52
73,12.0,3,5_eliminated,eliminated,0.345
73,12.0,4,0_healthy,healthy,0.379
73,14.0,0,6_escaped,escaped,0.429
73,14.0,1,1_injured,injured,0.202
73,14.0,2,1_injured,injured,0.477
73,14.0,3,5_eliminated,eliminated,0.396
73,14.0,4,0_healthy,healthy,0.351
73,16.0,0,6_escaped,escaped,0.518
73,16.0,1,1_injured,injured,0.198
73,16.0,2,1_injured,injured,0.472
73,16.0,3,5_eliminated,eliminated,0.257
73,16.0,4,0_healthy,healthy,0.41
73,18.0,0,6_escaped,escaped,0.438
73,18.0,1,1_injured,injured,0.212
73,18.0,2,1_injured,injured,0.472
73,18.0,3,5_eliminated,eliminated,0.322
73,18.0,4,0_healthy,healthy,0.433
73,20.0,0,6_escaped,escaped,0.352
73,20.0,1,1_injured,injured,0.202
73,20.0,2,1_injured,injured,0.479
73,20.0,3,5_eliminated,eliminated,0.335
73,20.0,4,0_healthy,healthy,0.374
73,22.0,0,6_escaped,escaped,0.493
73,22.0,1,1_injured,injured,0.195
73,22.0,2,1_injured,injured,0.449
73,22.0,3,5_eliminated,eliminated,0.362
73,22.0,4,0_healthy,healthy,0.304
73,24.0,0,6_escaped,escaped,0.445
73,24.0,1,1_injured,injured,0.211
73,24.0,2,1_injured,injured,0.492
73,24.0,3,5_eliminated,eliminated,0.346
73,24.0,4,0_healthy,healthy,0.409
73,26.0,0,6_escaped,escaped,0.487
73,26.0,1,2_downed,downed,0.204
73,26.0,2,1_injured,injured,0.463
73,26.0,3,5_eliminated,eliminated,0.361
73,26.0,4,0_healthy,healthy,0.377
73,28.0,0,6_escaped,escaped,0.428
73,28.0,1,2_downed,downed,0.189
73,28.0,2,1_injured,injured,0.355
73,28.0,3,5_eliminated,eliminated,0.305
73,28.0,4,0_healthy,healthy,0.305
73,30.0,0,6_escaped,escaped,0.508
73,30.0,1,2_downed,downed,0.195
73,30.0,2,1_injured,injured,0.4
73,30.0,3,5_eliminated,eliminated,0.335
73,30.0,4,0_healthy,healthy,0.39
73,32.0,0,6_escaped,escaped,0.629
73,32.0,1,6_escaped,escaped,0.193
73,32.0,2,1_injured,injured,0.476
73,32.0,3,5_eliminated,eliminated,0.318
73,32.0,4,0_healthy,healthy,0.383
73,34.0,0,6_escaped,escaped,0.627
73,34.0,1,0_healthy,healthy,0.194
73,34.0,2,1_injured,injured,0.422
73,34.0,3,5_eliminated,eliminated,0.429
73,34.0,4,0_healthy,healthy,0.354
73,36.0,0,6_escaped,escaped,0.574
73,36.0,1,0_healthy,healthy,0.207
73,36.0,2,1_injured,injured,0.499
73,36.0,3,5_eliminated,eliminated,0.286
73,36.0,4,0_healthy,healthy,0.374
73,38.0,0,6_escaped,escaped,0.575
73,38.0,1,0_healthy,healthy,0.21
73,38.0,2,1_injured,injured,0.497
73,38.0,3,5_eliminated,eliminated,0.281
73,38.0,4,0_healthy,healthy,0.359
73,39.99,0,6_escaped,escaped,0.615
73,39.99,1,0_healthy,healthy,0.196
73,39.99,2,1_injured,injured,0.447
73,39.99,3,5_eliminated,eliminated,0.232
73,39.99,4,0_healthy,healthy,0.322
73,41.99,0,6_escaped,escaped,0.501
73,41.99,1,2_downed,downed,0.207
73,41.99,2,1_injured,injured,0.509
73,41.99,3,5_eliminated,eliminated,0.259
73,41.99,4,0_healthy,healthy,0.362
73,43.99,0,6_escaped,escaped,0.54
73,43.99,1,2_downed,downed,0.199
73,43.99,2,1_injured,injured,0.477
73,43.99,3,5_eliminated,eliminated,0.252
73,43.99,4,0_healthy,healthy,0.323
73,45.99,0,6_escaped,escaped,0.789
73,45.99,1,2_downed,downed,0.196
73,45.99,2,1_injured,injured,0.32
73,45.99,3,5_eliminated,eliminated,0.236
73,45.99,4,0_healthy,healthy,0.362
73,47.99,0,6_escaped,escaped,0.597
73,47.99,1,2_downed,downed,0.184
73,47.99,2,1_injured,injured,0.479
73,47.99,3,5_eliminated,eliminated,0.317
73,47.99,4,0_healthy,healthy,0.37
73,49.99,0,6_escaped,escaped,0.523
73,49.99,1,2_downed,downed,0.211
73,49.99,2,1_injured,injured,0.514
73,49.99,3,5_eliminated,eliminated,0.344
73,49.99,4,0_healthy,healthy,0.373
73,51.99,0,6_escaped,escaped,0.564
73,51.99,1,0_healthy,healthy,0.479
73,51.99,2,1_injured,injured,0.484
73,51.99,3,5_eliminated,eliminated,0.374
73,51.99,4,0_healthy,healthy,0.38
73,53.99,0,6_escaped,escaped,0.623
73,53.99,1,2_downed,downed,0.2
73,53.99,2,1_injured,injured,0.447
73,53.99,3,5_eliminated,eliminated,0.29
73,53.99,4,0_healthy,healthy,0.395
73,55.99,0,6_escaped,escaped,0.64
73,55.99,1,0_healthy,healthy,0.205
73,55.99,2,1_injured,injured,0.473
73,55.99,3,5_eliminated,eliminated,0.289
73,55.99,4,0_healthy,healthy,0.354
73,57.99,0,6_escaped,escaped,0.612
73,57.99,1,0_healthy,healthy,0.204
73,57.99,2,1_injured,injured,0.478
73,57.99,3,5_eliminated,eliminated,0.293
73,57.99,4,0_healthy,healthy,0.364
73,59.99,0,6_escaped,escaped,0.655
73,59.99,1,0_healthy,healthy,0.213
73,59.99,2,1_injured,injured,0.448
73,59.99,3,5_eliminated,eliminated,0.309
73,59.99,4,0_healthy,healthy,0.315
73,61.99,0,5_eliminated,eliminated,0.406
73,61.99,1,0_healthy,healthy,0.235
73,61.99,2,1_injured,injured,0.411
73,61.99,3,0_healthy,healthy,0.456
73,61.99,4,0_healthy,healthy,0.438
73,63.99,0,5_eliminated,eliminated,0.745
73,63.99,1,0_healthy,healthy,0.536
73,63.99,2,1_injured,injured,0.437
73,63.99,3,0_healthy,healthy,0.435
73,63.99,4,0_healthy,healthy,0.817
